Date,GOOG_Adjusted_Close,GOOG_Cumulative_Return,GOOG_Value,CELG_Adjusted_Close,CELG_Cumulative_Return,CELG_Value,NVDA_Adjusted_Close,NVDA_Cumulative_Return,NVDA_Value,FB_Adjusted_Close,FB_Cumulative_Return,FB_Value,SPY_Adjusted_Close,SPY_Cumulative_Return,SPY_Value,Portfolio_Cumulative_Return,Portfolio_Value
2017-04-12,824.32,1.06109212,0.00000,125.15,1.20301839,1.39074,97.31,1.44505499,0.41764,139.58,1.08420068,0.00000,234.03,1.08457688,1.08458,1.06109212,1.06109212
2017-04-13,823.56,1.06011381,0.00000,124.45,1.19628952,1.35710,95.49,1.41802796,0.40216,139.39,1.08272482,0.00000,232.51,1.07753265,1.07753,1.06011381,1.06011381
2017-04-17,837.17,1.07763303,0.00000,125.07,1.20224936,1.41728,99.23,1.47356710,0.43428,141.42,1.09849303,0.00000,234.57,1.08707947,1.08708,1.07763303,1.07763303
2017-04-18,836.82,1.07718253,0.00000,123.01,1.18244741,1.39478,99.29,1.47445807,0.43481,140.96,1.09492000,0.00000,233.87,1.08383537,1.08384,1.07718253,1.07718253
2017-04-19,838.21,1.07897181,0.00000,122.92,1.18158223,1.39923,99.68,1.48024957,0.43823,142.27,1.10509553,0.00000,233.44,1.08184263,1.08184,1.07897181,1.07897181
2017-04-20,841.65,1.08339989,0.00000,123.27,1.18494663,1.42546,101.26,1.50371262,0.45223,143.80,1.11697994,0.00000,235.34,1.09064787,1.09065,1.08339989,1.08339989
2017-04-21,843.19,1.08538220,0.00000,122.26,1.17523795,1.41964,101.68,1.50994960,0.45599,143.68,1.11604774,0.00000,234.59,1.08717211,1.08717,1.08538220,1.08538220
2017-04-24,862.76,1.11057337,0.00000,123.15,1.18379317,1.44783,102.95,1.52880907,0.46745,145.47,1.12995180,0.00000,237.17,1.09912874,1.09913,1.11057337,1.11057337
2017-04-25,872.30,1.12285354,0.00000,125.52,1.20657501,1.50136,104.74,1.55539061,0.48385,146.49,1.13787478,0.00000,238.55,1.10552417,1.10552,1.12285354,1.12285354
2017-04-26,871.73,1.12211981,0.00000,125.20,1.20349898,1.48723,104.02,1.54469858,0.47722,146.56,1.13841845,0.00000,238.40,1.10482897,1.10483,1.12211981,1.12211981
2017-04-27,874.25,1.12536366,0.00000,123.97,1.19167550,1.49556,105.64,1.56875565,0.49220,147.70,1.14727350,0.00000,238.60,1.10575590,1.10576,1.12536366,1.12536366
2017-04-28,905.96,1.16618186,0.00000,124.05,1.19244453,1.47754,104.30,1.54885668,0.47979,150.25,1.16708089,0.00000,238.08,1.10334602,1.10335,1.16618186,1.16618186
2017-05-01,912.57,1.17469045,0.00000,124.06,1.19254060,1.51081,106.64,1.58360566,0.50156,152.46,1.18424732,0.00000,238.68,1.10612658,1.10613,1.17469045,1.17469045
2017-05-02,916.44,1.17967204,0.00000,123.82,1.19023360,1.46321,103.48,1.53667967,0.47228,152.78,1.18673289,0.00000,238.77,1.10654373,1.10654,1.17967204,1.17967204
2017-05-03,927.04,1.19331668,0.00000,123.43,1.18648468,1.46945,104.25,1.54811413,0.47933,151.80,1.17912068,0.00000,238.48,1.10519973,1.10520,1.19331668,1.19331668
2017-05-04,931.66,1.19926369,0.00000,124.46,1.19638566,1.47603,103.85,1.54217410,0.47566,150.85,1.17174149,0.00000,238.76,1.10649734,1.10650,1.19926369,1.19926369
2017-05-05,927.13,1.19343256,0.00000,122.41,1.17667985,1.45186,103.86,1.54232264,0.47575,150.24,1.16700326,0.00000,239.70,1.11085364,1.11085,1.19343256,1.19343256
2017-05-08,934.30,1.20266201,0.00000,118.36,1.13774875,1.38909,102.77,1.52613606,0.46582,151.06,1.17337262,0.00000,239.66,1.11066830,1.11067,1.20266201,1.20266201
2017-05-09,932.17,1.19992019,0.00000,120.10,1.15447467,1.41184,102.94,1.52866065,0.46736,150.48,1.16886740,0.00000,239.44,1.10964873,1.10965,1.19992019,1.19992019
2017-05-10,928.78,1.19555653,0.00000,119.68,1.15043739,1.65770,121.29,1.80115841,0.64883,150.29,1.16739154,0.00000,239.87,1.11164147,1.11164,1.19555653,1.19555653
2017-05-11,930.60,1.19789923,0.00000,119.52,1.14889934,1.72659,126.50,1.87852698,0.70577,150.04,1.16544964,0.00000,239.38,1.10937068,1.10937,1.19789923,1.19789923
2017-05-12,932.22,1.19998454,0.00000,119.32,1.14697684,1.74264,127.89,1.89916849,0.72137,150.33,1.16770231,0.00000,238.98,1.10751690,1.10752,1.19998454,1.19998454
2017-05-15,937.08,1.20624055,0.00000,119.04,1.14428532,1.82583,134.31,1.99450557,0.79561,150.19,1.16661485,0.00000,240.30,1.11363428,1.11363,1.20624055,1.20624055
2017-05-16,943.00,1.21386095,0.00000,119.36,1.14736136,1.86481,136.81,2.03163061,0.82550,149.78,1.16343011,0.00000,240.08,1.11261471,1.11261,1.21386095,1.21386095
2017-05-17,919.62,1.18376543,0.00000,117.10,1.12563683,1.70795,127.72,1.89664402,0.71945,144.85,1.12513593,0.00000,235.82,1.09287241,1.09287,1.18376543,1.18376543
2017-05-18,930.24,1.19743584,0.00000,117.40,1.12852065,1.78405,133.07,1.97609169,0.78099,147.66,1.14696285,0.00000,236.77,1.09727503,1.09728,1.19743584,1.19743584
2017-05-19,934.01,1.20228874,0.00000,116.93,1.12400271,1.81603,136.00,2.01960213,0.81576,148.06,1.15006984,0.00000,238.31,1.10441190,1.10441,1.20228874,1.20228874
2017-05-22,941.86,1.21239349,0.00000,115.71,1.11227531,1.83540,138.90,2.06266708,0.85092,148.24,1.15146807,0.00000,239.52,1.11001949,1.11002,1.21239349,1.21239349
2017-05-23,948.82,1.22135266,0.00000,117.31,1.12765547,1.83573,137.03,2.03489763,0.82816,148.07,1.15014759,0.00000,240.05,1.11247569,1.11248,1.22135266,1.22135266
2017-05-24,954.96,1.22925629,0.00000,117.75,1.13188505,1.86332,138.57,2.05776678,0.84688,150.04,1.16544964,0.00000,240.61,1.11507091,1.11507,1.22925629,1.22925629
2017-05-25,969.54,1.24802409,0.00000,116.74,1.12217629,1.84321,138.26,2.05316308,0.84310,151.96,1.18036353,0.00000,241.76,1.12040039,1.12040,1.24802409,1.24802409
2017-05-26,971.47,1.25050844,0.00000,116.78,1.12256080,1.89158,141.84,2.10632617,0.88732,152.13,1.18168400,0.00000,241.71,1.12016873,1.12017,1.25050844,1.25050844
2017-05-30,975.88,1.25618519,0.00000,115.13,1.10669998,1.90469,144.87,2.15132170,0.92564,152.38,1.18362590,0.00000,241.50,1.11919548,1.11920,1.25618519,1.25618519
2017-05-31,964.86,1.24199985,0.00000,114.41,1.09977896,1.88599,144.35,2.14359985,0.91900,151.46,1.17647973,0.00000,241.44,1.11891743,1.11892,1.24199985,1.24199985
2017-06-01,966.95,1.24469020,0.00000,116.41,1.11900418,1.91909,144.36,2.14374827,0.91913,151.53,1.17702340,0.00000,243.36,1.12781538,1.12782,1.24469020,1.24469020
2017-06-02,975.60,1.25582472,0.00000,118.73,1.14130544,1.94757,143.64,2.13305624,0.90999,153.61,1.19318001,0.00000,244.17,1.13156919,1.13157,1.25582472,1.25582472
2017-06-05,983.68,1.26622559,0.00000,118.10,1.13524945,1.99618,148.01,2.19795074,0.96620,153.63,1.19333539,0.00000,243.99,1.13073504,1.13074,1.26622559,1.26622559
2017-06-06,976.57,1.25707338,0.00000,116.88,1.12352205,1.96661,147.34,2.18800125,0.95747,152.81,1.18696591,0.00000,243.21,1.12712025,1.12712,1.25707338,1.25707338
2017-06-07,981.08,1.26287881,0.00000,117.57,1.13015477,2.00212,149.12,2.21443426,0.98074,153.12,1.18937384,0.00000,243.66,1.12920570,1.12921,1.26287881,1.26287881
2017-06-08,983.41,1.26587801,0.00000,117.06,1.12525232,2.13808,159.94,2.37511154,1.12823,154.71,1.20172441,0.00000,243.78,1.12976180,1.12976,1.26587801,1.26587801
2017-06-09,949.83,1.22265278,0.00000,118.19,1.13611462,2.01916,149.60,2.22156243,0.98707,149.60,1.16203200,0.00000,243.41,1.12804711,1.12805,1.22265278,1.22265278
2017-06-12,942.90,1.21373226,0.00000,119.35,1.14726521,2.04402,149.97,2.22705687,0.99196,148.44,1.15302156,0.00000,243.36,1.12781538,1.12782,1.21373226,1.21373226
2017-06-13,953.40,1.22724821,0.00000,119.62,1.14986066,2.06818,151.40,2.24829228,1.01096,150.68,1.17042090,0.00000,244.55,1.13333026,1.13333,1.22724821,1.22724821
2017-06-14,950.76,1.22384989,0.00000,121.04,1.16351055,2.09715,151.72,2.25304439,1.01524,150.25,1.16708089,0.00000,244.24,1.13189363,1.13189,1.22384989,1.22384989
2017-06-15,942.31,1.21297276,0.00000,120.61,1.15937712,2.09866,152.37,2.26269681,1.02396,149.80,1.16358550,0.00000,243.77,1.12971548,1.12972,1.21297276,1.21297276
2017-06-16,939.78,1.20971610,0.00000,122.36,1.17619919,2.11863,151.62,2.25155930,1.01390,150.64,1.17011025,0.00000,242.64,1.12447864,1.12448,1.20971610,1.20971610
2017-06-19,957.37,1.23235849,0.00000,125.16,1.20311454,2.24858,157.32,2.33620457,1.09157,152.87,1.18743194,0.00000,244.66,1.13384005,1.13384,1.23235849,1.23235849
2017-06-20,950.63,1.22368255,0.00000,126.22,1.21330388,2.26431,157.09,2.33278891,1.08838,152.25,1.18261608,0.00000,243.01,1.12619333,1.12619,1.22368255,1.22368255
2017-06-21,959.45,1.23503595,0.00000,132.83,1.27684325,2.41899,159.47,2.36813202,1.12161,153.91,1.19551031,0.00000,242.95,1.12591528,1.12592,1.23503595,1.23503595
2017-06-22,957.09,1.23199810,0.00000,133.68,1.28501388,2.41767,158.37,2.35179691,1.10619,153.40,1.19154876,0.00000,242.84,1.12540550,1.12541,1.23199810,1.23199810
